interval, latitude, longitude, classification
139,37.3525597527971,-122.107085203866,0.0
140,37.3522231774753,-122.106705838928,0.0
141,37.3510776646783,-122.105681570361,0.0
142,37.3506625928333,-122.105383426065,0.0
143,37.3518671142285,-122.106335777903,0.0
144,37.351483767887,-122.105989102388,0.0
145,37.3502591718336,-122.105087377245,0.0
146,37.3498708801692,-122.104801973442,0.0
147,37.3494871147325,-122.104513049239,0.0
148,37.3491260642534,-122.104211133087,0.0
149,37.3487826995899,-122.103873677665,0.0
150,37.348481705447,-122.103516189495,0.0
151,37.3482020013382,-122.103147385756,0.0
152,37.3479377199312,-122.102759806553,0.0
153,37.3476942256441,-122.102341381947,0.0
154,37.3474731110384,-122.101908540467,0.0
155,37.3472700175246,-122.10146505397,0.0
156,37.3470815923413,-122.101027434806,0.0
157,37.3468935024341,-122.10058554087,0.0
158,37.3466985393663,-122.100129230062,0.0
159,37.3464959487667,-122.099664621169,0.0
160,37.3462974233901,-122.099188529069,0.0
161,37.3460962158044,-122.09871662792,0.0
162,37.3459031805744,-122.098254282141,0.0
163,37.3457162641337,-122.097815573329,0.0
164,37.3455370590439,-122.097393544504,0.0
165,37.3453578120445,-122.096973946432,1.0
166,37.3451737035414,-122.096546637008,0.0
167,37.3449699394753,-122.096128799135,0.0
168,37.3447568295871,-122.095719846079,0.0
169,37.3445097310816,-122.095316760356,0.0
170,37.3439362831762,-122.094551408777,0.0
171,37.3436258593922,-122.094185203428,0.0
172,37.3429815424954,-122.093444410825,0.0
173,37.3426642455508,-122.093077032009,0.0
174,37.3423481639822,-122.09270127129,0.0
175,37.34203845266,-122.092302963251,0.0
176,37.3417378776123,-122.091893088186,0.0
177,37.3433041619485,-122.093818076069,0.0
178,37.3414598079746,-122.09145387646,0.0
179,37.3412104044457,-122.090992201233,0.0
180,37.3409797344705,-122.090513259286,0.0
181,37.3407504475092,-122.090041777233,0.0
182,37.3405230464762,-122.089572893569,0.0
183,37.3403004231279,-122.089101495335,0.0
184,37.3400640534585,-122.088630348558,0.0
185,37.3395584151497,-122.087717894578,0.0
186,37.3398134764632,-122.088175295035,0.0
187,37.3393023480078,-122.087262002865,0.0
188,37.3390469095086,-122.086807703713,0.0
189,37.3387904232716,-122.086351979638,0.0
190,37.338533978944,-122.085899859781,0.0
191,37.3382679373374,-122.085437765459,0.0
192,37.3379982915123,-122.084976593146,0.0
193,37.3377214372506,-122.08451399591,0.0
194,37.337425178883,-122.084057517463,0.0
195,37.3371191975077,-122.083594417313,0.0
196,37.3368032416677,-122.083136262486,0.0
197,37.3364772275438,-122.08268053841,0.0
198,37.3361463519161,-122.082208050529,0.0
199,37.3358167754834,-122.081727935115,0.0
200,37.3354843072941,-122.08124706533,0.0
201,37.3351461394106,-122.08076577645,0.0
202,37.3348228913148,-122.080286331588,0.0
203,37.3345245374714,-122.07979364332,0.0
204,37.3342613457118,-122.079284358883,0.0
205,37.3340308852841,-122.07877130259,0.0
206,37.3338305997079,-122.078243410328,0.0
207,37.3336645122965,-122.077703699583,0.0
208,37.333532287774,-122.077155606935,0.0
209,37.3334236583089,-122.076606676096,0.0
210,37.3333424795767,-122.076046094412,0.0
211,37.3333016177987,-122.075477717558,0.0
212,37.3332969658424,-122.074889391774,0.0
213,37.333314400201,-122.074292935545,0.0
214,37.3333668290054,-122.073685247565,0.0
215,37.3334602872257,-122.073067417482,0.0
216,37.3335713055332,-122.072453107799,0.0
217,37.3336851317783,-122.071843994895,0.0
218,37.3337976588284,-122.071257429311,0.0
219,37.3339067073887,-122.070676228145,0.0
220,37.3340139957493,-122.07010190014,0.0
221,37.334109758993,-122.069536289314,0.0
222,37.3341746349235,-122.068958776185,0.0
223,37.3342174245392,-122.068360140661,0.0
224,37.3342240881522,-122.067746082434,0.0
225,37.3342009540995,-122.067122385019,0.0
226,37.33414290942,-122.066495837757,0.0
227,37.3340471461763,-122.065859483669,0.0
228,37.3339113593449,-122.065226314703,0.0
229,37.3337307293316,-122.064588870967,0.0
230,37.3335224390378,-122.063965592647,0.0
231,37.3333072755833,-122.063340386489,0.0
232,37.3330999492084,-122.062731525043,0.0
233,37.3328928742905,-122.062130291129,1.0
234,37.3326925048952,-122.061544479916,0.0
235,37.3325038701644,-122.060971241558,0.0
236,37.3323374474769,-122.060393057877,0.0
237,37.3321942007517,-122.059824010471,0.0
238,37.332050995936,-122.059258483464,0.0
239,37.3319218727176,-122.058705361674,0.0
240,37.3318041069781,-122.058164980376,0.0
241,37.3316794261684,-122.057660892719,0.0
242,37.3315596068626,-122.05716133129,0.0
243,37.3314403323804,-122.056670151765,0.0
244,37.331290002947,-122.056192048008,0.0
245,37.3311249213641,-122.055734396095,0.0
246,37.3309338558813,-122.055271044487,0.0
247,37.3301703064119,-122.053943015749,0.0
248,37.3307131603708,-122.054815739507,0.0
249,37.3304571351384,-122.054372839743,0.0
250,37.3298531771054,-122.05352651898,0.0
251,37.3295030231004,-122.053117817381,0.0
252,37.329120095854,-122.052741469929,0.0
253,37.3287168424924,-122.052402757222,0.0
254,37.3283017287378,-122.052094973737,0.0
255,37.32786352284,-122.051820634047,0.0
256,37.3274178570484,-122.051565069819,0.0
257,37.3269660724675,-122.051326604674,0.0
258,37.326503768598,-122.051126444826,1.0
259,37.3260176601236,-122.050963081533,1.0
260,37.3255225411033,-122.050826037416,0.0
261,37.3250320321297,-122.050701398516,0.0
262,37.3245501565163,-122.050590170661,0.0
263,37.3240702087407,-122.050475673864,0.0
264,37.3235791130339,-122.050360171238,0.0
265,37.3220425425445,-122.049978962282,0.0
266,37.3225572752183,-122.050123969207,0.0
267,37.3215384129782,-122.049805456886,0.0
268,37.3210333614026,-122.04961384658,0.0
269,37.3205286451032,-122.04940086242,0.0
270,37.3200295027693,-122.04916457657,0.0
271,37.3195339227443,-122.048921669016,0.0
272,37.3190503707503,-122.048689574117,0.0
273,37.3186003882785,-122.048467453683,0.0
274,37.3181821732198,-122.048266539464,0.0
275,37.317773136345,-122.048070067653,0.0
276,37.3173644766559,-122.047864208112,0.0
277,37.3169468483304,-122.047660108769,0.0
278,37.3165200418209,-122.047445699686,0.0
279,37.3160890024503,-122.047237074116,0.0
